class,rdf2vec_tag
invertebrate,<http://dbpedia.org/resource/Pseudarchaster_discus>
bird,<http://dbpedia.org/resource/Chestnut-breasted_coronet>
insect,<http://dbpedia.org/resource/Orana_(moth)>
reptile,<http://dbpedia.org/resource/Eryx_jaculus>
bird,<http://dbpedia.org/resource/Virginia_rail>
mammal,<http://dbpedia.org/resource/Micronomus>
fish,<http://dbpedia.org/resource/Eolates>
invertebrate,<http://dbpedia.org/resource/Arachnotermes>
mammal,<http://dbpedia.org/resource/Panay_cloudrunner>
insect,<http://dbpedia.org/resource/Ethmia_albistrigella>
fish,<http://dbpedia.org/resource/Pacific_smalltail_shark>
insect,<http://dbpedia.org/resource/Scopula_perornata>
fish,<http://dbpedia.org/resource/Champsochromis>
fish,<http://dbpedia.org/resource/Neocaristius_heemstrai>
reptile,<http://dbpedia.org/resource/Morethia_boulengeri>
bird,<http://dbpedia.org/resource/Sapphire_flycatcher>
invertebrate,<http://dbpedia.org/resource/Acanthogonatus_recinto>
mammal,<http://dbpedia.org/resource/Greater_Egyptian_jerboa>
insect,<http://dbpedia.org/resource/Diaphania_fuscicaudalis>
mammal,<http://dbpedia.org/resource/Thespian_grass_mouse>
insect,<http://dbpedia.org/resource/Auchmis_inextricata>
invertebrate,<http://dbpedia.org/resource/Austrochthonius_insularis>
fish,<http://dbpedia.org/resource/Nothobranchius_neumanni>
insect,<http://dbpedia.org/resource/Agapanthia_persicola>
fish,<http://dbpedia.org/resource/Dinopteryx>
invertebrate,<http://dbpedia.org/resource/Clubiona_terrestris>
invertebrate,<http://dbpedia.org/resource/Eryonidae>
insect,<http://dbpedia.org/resource/Diathrausta_harlequinalis>
invertebrate,<http://dbpedia.org/resource/Terralonus>
mammal,<http://dbpedia.org/resource/Zebra_duiker>
fish,<http://dbpedia.org/resource/Hypodoras_forficulatus>
reptile,<http://dbpedia.org/resource/Typhlophis>
reptile,<http://dbpedia.org/resource/Aristonectes>
bird,<http://dbpedia.org/resource/Zapata_rail>
invertebrate,<http://dbpedia.org/resource/Quadrula_refulgens>
bird,<http://dbpedia.org/resource/Long-billed_bush_warbler>
fish,<http://dbpedia.org/resource/Pariah_scotius>
bird,<http://dbpedia.org/resource/Black-breasted_parrotbill>
bird,<http://dbpedia.org/resource/Balearica>
invertebrate,<http://dbpedia.org/resource/Armadillidium_vulgare>
bird,<http://dbpedia.org/resource/Raimondi's_yellow_finch>
fish,<http://dbpedia.org/resource/Puntius_schanicus>
fish,<http://dbpedia.org/resource/Alburnus_filippii>
invertebrate,<http://dbpedia.org/resource/Haplopelma_albostriatum>
bird,<http://dbpedia.org/resource/Black-capped_apalis>
invertebrate,<http://dbpedia.org/resource/Hogna_ingens>
amphibian,<http://dbpedia.org/resource/Pseudoeurycea_tlahcuiloh>
insect,<http://dbpedia.org/resource/Graphium_morania>
insect,<http://dbpedia.org/resource/Hypolycaena_vanavasa>
insect,<http://dbpedia.org/resource/Acraga_hamata>
mammal,<http://dbpedia.org/resource/Western_dwarf_squirrel>
mammal,<http://dbpedia.org/resource/Syrian_brown_bear>
insect,<http://dbpedia.org/resource/Aemilia_castanea>
insect,<http://dbpedia.org/resource/Calonotos_aequimaculatus>
fish,<http://dbpedia.org/resource/Myxiops_aphos>
invertebrate,<http://dbpedia.org/resource/Pseudoniphargus_grandimanus>
amphibian,<http://dbpedia.org/resource/Samlakki_tree_frog>
mammal,<http://dbpedia.org/resource/Trogosus>
insect,<http://dbpedia.org/resource/Coleophora_haywardi>
invertebrate,<http://dbpedia.org/resource/Ifasya>
fish,<http://dbpedia.org/resource/Chilatherina>
bird,<http://dbpedia.org/resource/Green_jay>
reptile,<http://dbpedia.org/resource/Xenocalamus_mechowii>
fish,<http://dbpedia.org/resource/Malacoctenus_macropus>
fish,<http://dbpedia.org/resource/Encheloclarias>
bird,<http://dbpedia.org/resource/Fulvous-vented_euphonia>
fish,<http://dbpedia.org/resource/Whitespotted_smooth-hound>
fish,<http://dbpedia.org/resource/Aristostomias>
insect,<http://dbpedia.org/resource/Mimosophronica_rufula>
invertebrate,<http://dbpedia.org/resource/Nephropsis>
mammal,<http://dbpedia.org/resource/Pouched_rat>
fish,<http://dbpedia.org/resource/Sphyrna_gilberti>
amphibian,<http://dbpedia.org/resource/Scinax_oreites>
reptile,<http://dbpedia.org/resource/Desert_plated_lizard>
mammal,<http://dbpedia.org/resource/Goldman's_water_mouse>
bird,<http://dbpedia.org/resource/Red-wattled_lapwing>
amphibian,<http://dbpedia.org/resource/Physalaemus_fernandezae>
invertebrate,<http://dbpedia.org/resource/Whartonia_carpenteri>
fish,<http://dbpedia.org/resource/Bear_Lake_sculpin>
insect,<http://dbpedia.org/resource/Pelosia_hampsoni>
mammal,<http://dbpedia.org/resource/Gmelin's_white-toothed_shrew>
mammal,<http://dbpedia.org/resource/Northern_Amazon_red_squirrel>
mammal,<http://dbpedia.org/resource/Myotis_flavus>
bird,<http://dbpedia.org/resource/Black-masked_finch>
reptile,<http://dbpedia.org/resource/False_cobra>
mammal,<http://dbpedia.org/resource/Fin_whale>
fish,<http://dbpedia.org/resource/Bagarius_rutilus>
fish,<http://dbpedia.org/resource/Danaphryne_nigrifilis>
amphibian,<http://dbpedia.org/resource/Australian_lace-lid>
mammal,<http://dbpedia.org/resource/Giant_pouched_rat>
fish,<http://dbpedia.org/resource/Woodwardella>
bird,<http://dbpedia.org/resource/Falcated_duck>
mammal,<http://dbpedia.org/resource/Abyssinian_genet>
mammal,<http://dbpedia.org/resource/Tonkinomys>
insect,<http://dbpedia.org/resource/Panoblemma>
bird,<http://dbpedia.org/resource/Sinoto's_lorikeet>
insect,<http://dbpedia.org/resource/Schinia_arcigera>
insect,<http://dbpedia.org/resource/Hippotion_griveaudi>
invertebrate,<http://dbpedia.org/resource/Zodarion_attikaense>
invertebrate,<http://dbpedia.org/resource/Cynapes_wrighti>
amphibian,<http://dbpedia.org/resource/Chocó_stubfoot_toad>
mammal,<http://dbpedia.org/resource/Tibetan_shrew>
fish,<http://dbpedia.org/resource/Leuresthes_tenuis>
amphibian,<http://dbpedia.org/resource/Eleutherodactylus_ramagii>
bird,<http://dbpedia.org/resource/Crested_hornero>
fish,<http://dbpedia.org/resource/Ginger_carpetshark>
bird,<http://dbpedia.org/resource/Peruvian_booby>
insect,<http://dbpedia.org/resource/Tippmannia>
insect,<http://dbpedia.org/resource/Acleris_semiannula>
mammal,<http://dbpedia.org/resource/Endo's_pipistrelle>
insect,<http://dbpedia.org/resource/Stathmopoda>
mammal,<http://dbpedia.org/resource/Arizona_shrew>
bird,<http://dbpedia.org/resource/Cabanis's_bunting>
insect,<http://dbpedia.org/resource/Varina_(moth)>
mammal,<http://dbpedia.org/resource/Harrington's_rat>
fish,<http://dbpedia.org/resource/South_Pacific_moray_eel>
bird,<http://dbpedia.org/resource/Olive-flanked_ground_robin>
mammal,<http://dbpedia.org/resource/Oligoryzomys>
amphibian,<http://dbpedia.org/resource/Eleutherodactylus_nivicolimae>
insect,<http://dbpedia.org/resource/Paititia>
mammal,<http://dbpedia.org/resource/Castorimorpha>
mammal,<http://dbpedia.org/resource/Turbo_shrew>
fish,<http://dbpedia.org/resource/Dionda>
mammal,<http://dbpedia.org/resource/Macropodidae>
fish,<http://dbpedia.org/resource/Rhamphochromis_brevis>
reptile,<http://dbpedia.org/resource/Glishades>
bird,<http://dbpedia.org/resource/Bushy-crested_jay>
reptile,<http://dbpedia.org/resource/Trionyx_ikoviensis>
amphibian,<http://dbpedia.org/resource/Oriental_fire-bellied_toad>
fish,<http://dbpedia.org/resource/Rasbora_tawarensis>
mammal,<http://dbpedia.org/resource/Little_woolly_mouse_opossum>
fish,<http://dbpedia.org/resource/Mimoblennius_rusi>
bird,<http://dbpedia.org/resource/Chestnut-eared_bunting>
insect,<http://dbpedia.org/resource/Eumaeini>
invertebrate,<http://dbpedia.org/resource/Anasterias>
reptile,<http://dbpedia.org/resource/Cloudy_gecko>
mammal,<http://dbpedia.org/resource/Smoky_white-toothed_shrew>
mammal,<http://dbpedia.org/resource/Elegant_fat-tailed_mouse_opossum>
amphibian,<http://dbpedia.org/resource/Mantidactylus_spiniferus>
reptile,<http://dbpedia.org/resource/Oligodon>
fish,<http://dbpedia.org/resource/Paraschistura_punjabensis>
reptile,<http://dbpedia.org/resource/Xenopeltis_unicolor>
bird,<http://dbpedia.org/resource/Karthala_scops_owl>
bird,<http://dbpedia.org/resource/Pernis_(bird)>
invertebrate,<http://dbpedia.org/resource/Predatoroonops>
mammal,<http://dbpedia.org/resource/Black-chinned_emperor_tamarin>
mammal,<http://dbpedia.org/resource/Isabelle's_ghost_bat>
bird,<http://dbpedia.org/resource/Sulphur-winged_parakeet>
fish,<http://dbpedia.org/resource/Rineloricaria>
insect,<http://dbpedia.org/resource/Derovatellus>
mammal,<http://dbpedia.org/resource/Crocidura_grandiceps>
fish,<http://dbpedia.org/resource/Anaecypris_hispanica>
invertebrate,<http://dbpedia.org/resource/Ozyptila_bejarana>
insect,<http://dbpedia.org/resource/Vespula_austriaca>
invertebrate,<http://dbpedia.org/resource/Heptathela>
bird,<http://dbpedia.org/resource/Anna's_hummingbird>
bird,<http://dbpedia.org/resource/Swallow_tanager>
fish,<http://dbpedia.org/resource/New_Grenada_sea_catfish>
invertebrate,<http://dbpedia.org/resource/Ark_clam>
fish,<http://dbpedia.org/resource/Finless_sleeper_ray>
insect,<http://dbpedia.org/resource/Porphyrophora>
mammal,<http://dbpedia.org/resource/Southern_red-sided_opossum>
insect,<http://dbpedia.org/resource/Bryotropha_azovica>
fish,<http://dbpedia.org/resource/Tasmanogobius>
amphibian,<http://dbpedia.org/resource/Philautus_mjobergi>
fish,<http://dbpedia.org/resource/Eichstaettia>
reptile,<http://dbpedia.org/resource/Erycinae>
bird,<http://dbpedia.org/resource/Band-tailed_sierra_finch>
fish,<http://dbpedia.org/resource/Trichomycterus_chiltoni>
amphibian,<http://dbpedia.org/resource/Hyalinobatrachium_orientale>
fish,<http://dbpedia.org/resource/Crenuchidae>
reptile,<http://dbpedia.org/resource/Sceloporus_merriami>
bird,<http://dbpedia.org/resource/Blue-shouldered_robin-chat>
reptile,<http://dbpedia.org/resource/Steneosaurus_obtusidens>
bird,<http://dbpedia.org/resource/Serendib_scops_owl>
bird,<http://dbpedia.org/resource/Black-throated_apalis>
insect,<http://dbpedia.org/resource/Mordella_griseopubens>
mammal,<http://dbpedia.org/resource/Calabar_angwantibo>
insect,<http://dbpedia.org/resource/Phyllonorycter_rongensis>
bird,<http://dbpedia.org/resource/Sri_Lanka_scimitar_babbler>
fish,<http://dbpedia.org/resource/Simpsonichthys_constanciae>
mammal,<http://dbpedia.org/resource/Borhyaenidae>
invertebrate,<http://dbpedia.org/resource/Filmy_dome_spider>
invertebrate,<http://dbpedia.org/resource/Psalmopoeus>
invertebrate,<http://dbpedia.org/resource/Paphies_ventricosa>
mammal,<http://dbpedia.org/resource/Yulungshan_vole>
amphibian,<http://dbpedia.org/resource/Caecilia_albiventris>
bird,<http://dbpedia.org/resource/Olivaceous_siskin>
fish,<http://dbpedia.org/resource/Kaluga_(fish)>
bird,<http://dbpedia.org/resource/Bolemoreus>
fish,<http://dbpedia.org/resource/Chela_(fish)>
amphibian,<http://dbpedia.org/resource/Ailao_toad>
amphibian,<http://dbpedia.org/resource/Anodonthyla_montana>
bird,<http://dbpedia.org/resource/Sunset_lorikeet>
bird,<http://dbpedia.org/resource/Príncipe_white-eye>
bird,<http://dbpedia.org/resource/Sumba_myzomela>
insect,<http://dbpedia.org/resource/Acrolophus_mora>
fish,<http://dbpedia.org/resource/African_dwarf_skate>
insect,<http://dbpedia.org/resource/Hypsotropa_heterocerella>
mammal,<http://dbpedia.org/resource/Painted_tree-rat>
fish,<http://dbpedia.org/resource/Xenopoclinus>
invertebrate,<http://dbpedia.org/resource/Altella_lucida>
amphibian,<http://dbpedia.org/resource/Variegated_tree_frog>
bird,<http://dbpedia.org/resource/Fringilla>
bird,<http://dbpedia.org/resource/Piping_crow>
insect,<http://dbpedia.org/resource/Mordellistena_distorta>
fish,<http://dbpedia.org/resource/Photoblepharon_palpebratum>
reptile,<http://dbpedia.org/resource/Trigonosaurus>
fish,<http://dbpedia.org/resource/Centropyge_eibli>
invertebrate,<http://dbpedia.org/resource/Edible_naiad>
mammal,<http://dbpedia.org/resource/Spermophilus_ralli>
mammal,<http://dbpedia.org/resource/Lariang_tarsier>
mammal,<http://dbpedia.org/resource/Sudamerica>
fish,<http://dbpedia.org/resource/Narrowbar_swellshark>
invertebrate,<http://dbpedia.org/resource/Migoidea>
insect,<http://dbpedia.org/resource/Schizogenius>
insect,<http://dbpedia.org/resource/Platyptilia_pygmaeana>
amphibian,<http://dbpedia.org/resource/Kalophrynus_minusculus>
mammal,<http://dbpedia.org/resource/Long-tailed_brown-toothed_shrew>
bird,<http://dbpedia.org/resource/Yellow-billed_spoonbill>
reptile,<http://dbpedia.org/resource/Lycodon_tiwarii>
fish,<http://dbpedia.org/resource/Gillellus_ornatus>
mammal,<http://dbpedia.org/resource/White-throated_woodrat>
fish,<http://dbpedia.org/resource/Polyacanthonotus>
insect,<http://dbpedia.org/resource/Bastilla_angularis>
mammal,<http://dbpedia.org/resource/Benito_roundleaf_bat>
invertebrate,<http://dbpedia.org/resource/Lipaesthesius>
amphibian,<http://dbpedia.org/resource/Aplastodiscus_flumineus>
fish,<http://dbpedia.org/resource/Schistura_coruscans>
bird,<http://dbpedia.org/resource/Dull-coloured_grassquit>
mammal,<http://dbpedia.org/resource/Rucervus>
bird,<http://dbpedia.org/resource/Southern_pied_babbler>
bird,<http://dbpedia.org/resource/Manx_shearwater>
reptile,<http://dbpedia.org/resource/Trans-Pecos_striped_whiptail>
reptile,<http://dbpedia.org/resource/Iberian_worm_lizard>
bird,<http://dbpedia.org/resource/Petroicidae>
bird,<http://dbpedia.org/resource/Naked-faced_spiderhunter>
mammal,<http://dbpedia.org/resource/Doria's_tree-kangaroo>
mammal,<http://dbpedia.org/resource/Geomys>
bird,<http://dbpedia.org/resource/Cachar_wedge-billed_babbler>
mammal,<http://dbpedia.org/resource/Ethiopian_large-eared_roundleaf_bat>
amphibian,<http://dbpedia.org/resource/Hypsiboas_latistriatus>
reptile,<http://dbpedia.org/resource/Eurazhdarcho>
bird,<http://dbpedia.org/resource/Orange-crowned_oriole>
fish,<http://dbpedia.org/resource/Alepidomus_evermanni>
mammal,<http://dbpedia.org/resource/Malleodectes>
invertebrate,<http://dbpedia.org/resource/Amaurobius_paon>
insect,<http://dbpedia.org/resource/Tetranodus_rugipennis>
amphibian,<http://dbpedia.org/resource/Rockhole_frog>
insect,<http://dbpedia.org/resource/Boenasa_nigrorosea>
bird,<http://dbpedia.org/resource/Humaita_antbird>
bird,<http://dbpedia.org/resource/Green-throated_carib>
insect,<http://dbpedia.org/resource/Lioporeus>
fish,<http://dbpedia.org/resource/Campellolebias>
bird,<http://dbpedia.org/resource/Rüppell's_warbler>
fish,<http://dbpedia.org/resource/Pomacentrus_alleni>
amphibian,<http://dbpedia.org/resource/Tuditanidae>
invertebrate,<http://dbpedia.org/resource/Elliptio_producta>
reptile,<http://dbpedia.org/resource/Asthenodipsas>
reptile,<http://dbpedia.org/resource/Micrurus_hippocrepis>
fish,<http://dbpedia.org/resource/Opostomias>
invertebrate,<http://dbpedia.org/resource/Anelosimus_potmosbi>
bird,<http://dbpedia.org/resource/Okarito_kiwi>
insect,<http://dbpedia.org/resource/Udea_marmarina>
mammal,<http://dbpedia.org/resource/Para_dog-faced_bat>
fish,<http://dbpedia.org/resource/Protomelas_macrodon>
bird,<http://dbpedia.org/resource/Synthliboramphus>
insect,<http://dbpedia.org/resource/Amantis_vitalisi>
mammal,<http://dbpedia.org/resource/Japanese_weasel>
fish,<http://dbpedia.org/resource/Banded_houndshark>
bird,<http://dbpedia.org/resource/Maghreb_lark>
reptile,<http://dbpedia.org/resource/Puppigerus>
fish,<http://dbpedia.org/resource/Largehead_hairtail>
mammal,<http://dbpedia.org/resource/Tigon>
bird,<http://dbpedia.org/resource/Colaptes>
mammal,<http://dbpedia.org/resource/Japanese_serow>
bird,<http://dbpedia.org/resource/White-rumped_woodpecker>
insect,<http://dbpedia.org/resource/Perittia_deroga>
invertebrate,<http://dbpedia.org/resource/Laevicardium_elatum>
mammal,<http://dbpedia.org/resource/Dusky_tube-nosed_bat>
mammal,<http://dbpedia.org/resource/Daurian_ground_squirrel>
amphibian,<http://dbpedia.org/resource/Taiwan_lesser_salamander>
invertebrate,<http://dbpedia.org/resource/Lima_lima>
bird,<http://dbpedia.org/resource/Golden-browed_chlorophonia>
bird,<http://dbpedia.org/resource/Red-footed_booby>
bird,<http://dbpedia.org/resource/Mountain_elaenia>
mammal,<http://dbpedia.org/resource/Cimolodon>
reptile,<http://dbpedia.org/resource/Laticauda>
invertebrate,<http://dbpedia.org/resource/Missulena>
bird,<http://dbpedia.org/resource/Wilson's_phalarope>
bird,<http://dbpedia.org/resource/Masked_tanager>
bird,<http://dbpedia.org/resource/White-cheeked_cotinga>
fish,<http://dbpedia.org/resource/Cutthroat_trout>
bird,<http://dbpedia.org/resource/Violet_turaco>
invertebrate,<http://dbpedia.org/resource/Trochosa_robusta>
bird,<http://dbpedia.org/resource/Japanese_wagtail>
bird,<http://dbpedia.org/resource/Pipipi>
amphibian,<http://dbpedia.org/resource/Shenandoah_salamander>
insect,<http://dbpedia.org/resource/Satyrium_sylvinum>
insect,<http://dbpedia.org/resource/Blastobasidae>
fish,<http://dbpedia.org/resource/Blackspotted_torpedo>
insect,<http://dbpedia.org/resource/Comet_darner>
mammal,<http://dbpedia.org/resource/Ord's_kangaroo_rat>
invertebrate,<http://dbpedia.org/resource/Parhyale>
mammal,<http://dbpedia.org/resource/Sonoran_woodrat>
fish,<http://dbpedia.org/resource/Pink_salmon>
invertebrate,<http://dbpedia.org/resource/Marthasterias>
mammal,<http://dbpedia.org/resource/Long-tailed_mountain_rat>
bird,<http://dbpedia.org/resource/Elegant_euphonia>
bird,<http://dbpedia.org/resource/Western_reef_heron>
amphibian,<http://dbpedia.org/resource/Hypopachus>
bird,<http://dbpedia.org/resource/Chinese_grosbeak>
mammal,<http://dbpedia.org/resource/Siberian_musk_deer>
insect,<http://dbpedia.org/resource/Agriocnemis_sania>
insect,<http://dbpedia.org/resource/Carabus_hummeli>
mammal,<http://dbpedia.org/resource/Black-eared_squirrel>
bird,<http://dbpedia.org/resource/Upland_buzzard>
mammal,<http://dbpedia.org/resource/Northern_ghost_bat>
mammal,<http://dbpedia.org/resource/White-coated_titi>
bird,<http://dbpedia.org/resource/Paradise_kingfisher>
insect,<http://dbpedia.org/resource/Batocera_rosenbergi>
fish,<http://dbpedia.org/resource/Gobio_macrocephalus>
invertebrate,<http://dbpedia.org/resource/Arachnura_melanura>
amphibian,<http://dbpedia.org/resource/Amphibamus>
amphibian,<http://dbpedia.org/resource/Olm>
invertebrate,<http://dbpedia.org/resource/Mactridae>
reptile,<http://dbpedia.org/resource/Cuatro_Cienegas_softshell>
reptile,<http://dbpedia.org/resource/Terre-de-Haut_racer>
bird,<http://dbpedia.org/resource/Brushland_tinamou>
amphibian,<http://dbpedia.org/resource/Blue-spotted_tree_frog>
mammal,<http://dbpedia.org/resource/Baja_pocket_mouse>
fish,<http://dbpedia.org/resource/Yirrkala_moluccensis>
insect,<http://dbpedia.org/resource/Chamaesphecia_albiventris>
bird,<http://dbpedia.org/resource/Marbled_wood_quail>
fish,<http://dbpedia.org/resource/Spotty_(fish)>
fish,<http://dbpedia.org/resource/Trachidermus_fasciatus>
fish,<http://dbpedia.org/resource/Podothecus_sturioides>
bird,<http://dbpedia.org/resource/Blue-fronted_robin>
reptile,<http://dbpedia.org/resource/Borealonectes>
invertebrate,<http://dbpedia.org/resource/Elsalvadoria>
fish,<http://dbpedia.org/resource/Tex-Mex_gambusia>
reptile,<http://dbpedia.org/resource/Traukutitan>
insect,<http://dbpedia.org/resource/Imma_costipuncta>
invertebrate,<http://dbpedia.org/resource/Coprozercon>
invertebrate,<http://dbpedia.org/resource/Neomysis>
invertebrate,<http://dbpedia.org/resource/Pinna_carnea>
bird,<http://dbpedia.org/resource/Myza>
reptile,<http://dbpedia.org/resource/Oligosoma>
insect,<http://dbpedia.org/resource/Glaphyria_spinacrista>
mammal,<http://dbpedia.org/resource/Kubanochoerus>
fish,<http://dbpedia.org/resource/Muraena_augusti>
invertebrate,<http://dbpedia.org/resource/Chama_(genus)>
reptile,<http://dbpedia.org/resource/Leptotyphlops_melanurus>
insect,<http://dbpedia.org/resource/Cryptochorina_polychroia>
insect,<http://dbpedia.org/resource/Myopsyche_nervalis>
invertebrate,<http://dbpedia.org/resource/Epidermoptidae>
insect,<http://dbpedia.org/resource/Coleophora_cirsiella>
bird,<http://dbpedia.org/resource/Yapacana_antbird>
bird,<http://dbpedia.org/resource/Blue-browed_tanager>
bird,<http://dbpedia.org/resource/Milky_stork>
mammal,<http://dbpedia.org/resource/Sthenurus>
bird,<http://dbpedia.org/resource/Black-headed_siskin>
fish,<http://dbpedia.org/resource/Hemichromis_fasciatus>
fish,<http://dbpedia.org/resource/Ogcocephalus_radiatus>
reptile,<http://dbpedia.org/resource/Mediterranean_house_gecko>
fish,<http://dbpedia.org/resource/Mbipia>
mammal,<http://dbpedia.org/resource/Nyiro_shrew>
reptile,<http://dbpedia.org/resource/Grenada_tree_anole>
bird,<http://dbpedia.org/resource/Canada_warbler>
mammal,<http://dbpedia.org/resource/Leopoldamys>
fish,<http://dbpedia.org/resource/Giant_barb>
reptile,<http://dbpedia.org/resource/Black_river_turtle>
fish,<http://dbpedia.org/resource/New_Caledonian_stingaree>
fish,<http://dbpedia.org/resource/Ursinoscorpaenopsis_kitai>
amphibian,<http://dbpedia.org/resource/Smooth_newt>
fish,<http://dbpedia.org/resource/Colobodus>
bird,<http://dbpedia.org/resource/Chestnut-backed_laughingthrush>
invertebrate,<http://dbpedia.org/resource/Australian_land_hermit_crab>
amphibian,<http://dbpedia.org/resource/Craugastor_crassidigitus>
mammal,<http://dbpedia.org/resource/Neovison>
mammal,<http://dbpedia.org/resource/Vulpes_vulpes_kurdistanica>
mammal,<http://dbpedia.org/resource/Argentine_cougar>
reptile,<http://dbpedia.org/resource/Boidae>
insect,<http://dbpedia.org/resource/Lista_insulsalis>
fish,<http://dbpedia.org/resource/Mastacembelidae>
reptile,<http://dbpedia.org/resource/Sceloporus_occidentalis_becki>
amphibian,<http://dbpedia.org/resource/Austrochaperina_septentrionalis>
mammal,<http://dbpedia.org/resource/Gray_brocket>
mammal,<http://dbpedia.org/resource/Pacific_sheath-tailed_bat>
mammal,<http://dbpedia.org/resource/Mylodontidae>
invertebrate,<http://dbpedia.org/resource/Procambarus_apalachicolae>
invertebrate,<http://dbpedia.org/resource/Paraphytoseius>
fish,<http://dbpedia.org/resource/Entomocorus_gameroi>
bird,<http://dbpedia.org/resource/Common_wood_pigeon>
invertebrate,<http://dbpedia.org/resource/Mya_truncata>
fish,<http://dbpedia.org/resource/Scopeloberyx>
amphibian,<http://dbpedia.org/resource/Axolotl>
amphibian,<http://dbpedia.org/resource/Cardioglossa_venusta>
mammal,<http://dbpedia.org/resource/Mexican_funnel-eared_bat>
fish,<http://dbpedia.org/resource/Shortbelly_catshark>
reptile,<http://dbpedia.org/resource/Helmeted_gecko>
bird,<http://dbpedia.org/resource/Red-spectacled_amazon>
fish,<http://dbpedia.org/resource/Comet_grouper>
amphibian,<http://dbpedia.org/resource/Hypsiboas_exastis>
mammal,<http://dbpedia.org/resource/Callithrix>
insect,<http://dbpedia.org/resource/Eilema_flavicosta>
bird,<http://dbpedia.org/resource/Versicoloured_barbet>
amphibian,<http://dbpedia.org/resource/Ansonia_anotis>
bird,<http://dbpedia.org/resource/Heliornithidae>
insect,<http://dbpedia.org/resource/Netechma_projuncta>
invertebrate,<http://dbpedia.org/resource/Pyrenecosa_spinosa>
fish,<http://dbpedia.org/resource/Port_Jackson_shark>
mammal,<http://dbpedia.org/resource/Pakicetus>
insect,<http://dbpedia.org/resource/Coryphista_meadii>
insect,<http://dbpedia.org/resource/Acmon_Blue>
fish,<http://dbpedia.org/resource/Bullichthys>
insect,<http://dbpedia.org/resource/Eurrhyparodes_bracteolalis>
invertebrate,<http://dbpedia.org/resource/Procambarus_gibbus>
reptile,<http://dbpedia.org/resource/Yellow-blotched_map_turtle>
fish,<http://dbpedia.org/resource/Ptychochromis_insolitus>
mammal,<http://dbpedia.org/resource/Protitanotherium>
bird,<http://dbpedia.org/resource/Green_shrike-babbler>
bird,<http://dbpedia.org/resource/Pale-headed_woodpecker>
invertebrate,<http://dbpedia.org/resource/Pseudocellus_bolivari>
bird,<http://dbpedia.org/resource/Lined_forest_falcon>
fish,<http://dbpedia.org/resource/Diaphus_holti>
invertebrate,<http://dbpedia.org/resource/Spruce-fir_moss_spider>
insect,<http://dbpedia.org/resource/Anauxesis_elongata>
invertebrate,<http://dbpedia.org/resource/Glycymeris_modesta>
fish,<http://dbpedia.org/resource/Geryichthys_sterbai>
fish,<http://dbpedia.org/resource/Hypseleotris_klunzingeri>
invertebrate,<http://dbpedia.org/resource/Pisidium_hibernicum>
insect,<http://dbpedia.org/resource/Oreocossus>
reptile,<http://dbpedia.org/resource/Tropidolaemus_laticinctus>
bird,<http://dbpedia.org/resource/Tawny-bellied_babbler>
invertebrate,<http://dbpedia.org/resource/Phalangium>
reptile,<http://dbpedia.org/resource/Xenocalamus_michelli>
bird,<http://dbpedia.org/resource/Centropus_colossus>
insect,<http://dbpedia.org/resource/Pterotocera>
fish,<http://dbpedia.org/resource/Small_red_scorpionfish>
invertebrate,<http://dbpedia.org/resource/Allacanthos>
mammal,<http://dbpedia.org/resource/Ghana_mole-rat>
bird,<http://dbpedia.org/resource/Parus>
insect,<http://dbpedia.org/resource/Bythopsyrna>
reptile,<http://dbpedia.org/resource/Myanmar_brown_leaf_turtle>
bird,<http://dbpedia.org/resource/Cinnamon-headed_green_pigeon>
mammal,<http://dbpedia.org/resource/European_pine_vole>
insect,<http://dbpedia.org/resource/Ambia_(moth)>
fish,<http://dbpedia.org/resource/Limp_eelpout>
bird,<http://dbpedia.org/resource/Egyptian_goose>
invertebrate,<http://dbpedia.org/resource/Periclimenes_acanthimerus>
insect,<http://dbpedia.org/resource/Amblyscirtes_celia>
fish,<http://dbpedia.org/resource/Crossback_stingaree>
fish,<http://dbpedia.org/resource/Callechelys_leucoptera>
insect,<http://dbpedia.org/resource/Pseudagrion_sjoestedti>
fish,<http://dbpedia.org/resource/Toxotes_kimberleyensis>
fish,<http://dbpedia.org/resource/Striped_bass>
bird,<http://dbpedia.org/resource/Common_myna>
invertebrate,<http://dbpedia.org/resource/Hyperiopsidae>
insect,<http://dbpedia.org/resource/Astatochroa_sulphurata>
fish,<http://dbpedia.org/resource/Acentrogobius_viridipunctatus>
reptile,<http://dbpedia.org/resource/Hemicordylus_nebulosus>
bird,<http://dbpedia.org/resource/White-headed_babbler>
bird,<http://dbpedia.org/resource/Naga_wren-babbler>
fish,<http://dbpedia.org/resource/Araucanian_herring>
mammal,<http://dbpedia.org/resource/Borophaginae>
fish,<http://dbpedia.org/resource/Little_pineapple_fish>
mammal,<http://dbpedia.org/resource/Argentine_hocicudo>
bird,<http://dbpedia.org/resource/Red-billed_leiothrix>
insect,<http://dbpedia.org/resource/Eumysia_pallidipennella>
bird,<http://dbpedia.org/resource/Purple-rumped_sunbird>
mammal,<http://dbpedia.org/resource/Caracal>
mammal,<http://dbpedia.org/resource/White-toothed_brush_mouse>
bird,<http://dbpedia.org/resource/Henderson_petrel>
insect,<http://dbpedia.org/resource/Clostera_inclusa>
insect,<http://dbpedia.org/resource/Ghesquierellana_phialusalis>
